Self/Other Remarks,Symbol,Qty.,Buy avg.,Buy value,LTP ,Present value,P&L,P&L chg.,Gurpreet,Remarks,Remarks
N,MAFANG,"6,123",50.33,"3,08,166.76",206.62,"12,65,134","9,56,967.50",310.54%,N,Self,Others
N,NH,369,497.01,"1,83,396.90","1,899.70","7,00,989","5,17,592.40",282.23%,N,Self,Others
G,3MINDIA,12,"32,853.95","3,94,247.35","32,780.00","3,93,360.00",-887.35,-0.23%,G,2.Mar'26 Must buy,MUSTBUY
N,HCG,609,314.21,"1,91,353.60",642.3,"3,91,161","1,99,807.10",104.42%,N,Self,Others
G,AEROFLEX,960,187.2,"1,79,710.57",406.3,"3,90,048.00","2,10,337.43",117.04%,G,2.Mar'26 Must buy,MUSTBUY
G,SONACOMS,568,543.57,"3,08,749.05",600,"3,40,800.00","32,050.95",10.38%,G,2.Mar'26 Must buy,MUSTBUY
N,SYRMA,289,430.8,"1,24,501.80","1,146.40","3,31,310","2,06,807.80",166.11%,N,Self,Others
G,PARKHOSPS,896,158.81,"1,42,295.53",279.9,"2,50,790.40","1,08,494.87",76.25%,G,1. Oct'25 Must buy,MUSTBUY
N,MTARTECH,26,"1,514.93","39,388.30","7,107.00","1,84,782","1,45,393.70",369.13%,N,Self,Others
G,DEEDEV,255,261.86,"66,773.95",636,"1,62,180.00","95,406.05",142.88%,G,G,Others
G,SANSERA,56,"1,524.46","85,369.70","2,892.70","1,61,991.20","76,621.50",89.75%,G,2.Mar'26 Must buy,MUSTBUY
G,TRITURBINE,230,551.14,"1,26,763.15",680.35,"1,56,480.50","29,717.35",23.44%,G,2.Mar'26 Must buy,MUSTBUY
G,THERMAX,30,"4,430.55","1,32,916.50","4,868.00","1,46,040.00","13,123.50",9.87%,G,2.Mar'26 Must buy,MUSTBUY
G,ELGIEQUIP,245,552.93,"1,35,467.90",579.5,"1,41,977.50","6,509.60",4.81%,G,2.Mar'26 Must buy,MUSTBUY
N,POWERINDIA,4,"2,195.91","8,783.65","35,450.00","1,41,800","1,33,016.35",1514.36%,N,Self,Others
N,ASTRAMICRO,101,224.73,"22,697.70","1,355.80","1,36,936","1,14,238.10",503.30%,N,Self,Others
G,INGERRAND,36,"4,330.32","1,55,891.70","3,732.00","1,34,352.00","-21,539.70",-13.82%,G,2.Mar'26 Must buy,MUSTBUY
N,ASTERDM,183,283.78,"51,931.50",729,"1,33,407","81,475.50",156.89%,N,Self,Others
G,SJVN,"1,465",74.72,"1,09,462.55",72.32,"1,05,948.80","-3,513.75",-3.21%,G,3.May'26 Must buy,MUSTBUY
G,NEPHROPLUS,164,606.55,"99,474.25",636.7,"1,04,418.80","4,944.55",4.97%,G,G,Others
N,NEULANDLAB,6,"1,031.85","6,191.10","16,836.05","1,01,016","94,825.20",1531.64%,N,Self,Others
G,INOXINDIA,68,"1,182.81","80,431.20","1,453.00","98,804.00","18,372.80",22.84%,G,2.Mar'26 Must buy,MUSTBUY
N,AVANTEL,540,13.39,"7,229.60",176,"95,040","87,810.40",1214.60%,N,Self,Others
G,SOUTHWEST,350,165.99,"58,095.38",266.7,"93,345.00","35,249.62",60.68%,G,G,Others
